OBJECTID,ZIP,NAME,ZIPTYPE,STATE,STATEFIPS,COUNTYFIPS,COUNTYNAME,S3DZIP,LAT,LON,EMPTYCOL,TOTRESCNT,MFDU,SFDU,BOXCNT,BIZCNT,RELVER,COLOR,GlobalID,SHAPESTArea,SHAPESTLength
61732,15147,VERONA,NON-UNIQUE,PA,42,42003,ALLEGHENY,151,40.4968904,-79.82986158, ,8048,830,7137,81,386,1.9.3,5,{C8E9D743-01FF-40E1-91A9-E253F403936E},282793003.369751,136677.328949486
61733,15235,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.43174313,-79.86487858, ,16490,1458,14740,292,1183,1.9.3,10,{708511D6-B6D1-46F4-BDFF-867C2ADFD9D7},394213625.086365,195091.609464883
63755,15238,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.53502586,-79.88243085, ,5995,584,5205,206,967,1.9.3,6,{32CA1374-D3CD-4AF1-940E-E68DFEEA299E},491899574.779541,175262.290856846
65789,15220,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.37220649,-80.07521033, ,8442,2526,5865,51,797,1.9.3,5,{A22AF33B-BCD9-4AAB-BE12-C1C27FD451C1},138599637.561249,154660.670282826
65793,15217,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.43135754,-79.92139908, ,12495,3165,9119,211,798,1.9.3,15,{FDF46A10-9ECB-443E-AB23-31661B1326A6},110682059.333038,69723.4163443412
65795,15233,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,152,40.45789522,-80.02901278, ,1690,396,998,296,535,1.9.3,5,{67DC5634-B394-4CF6-92D7-E2C76D3CC29B},46791331.8181763,38878.0275521343
65798,15143,SEWICKLEY,NON-UNIQUE,PA,42,42003,ALLEGHENY,,,,,,,,,,,,{E970DB91-0062-40EF-A631-87BF4885FFEA},939812937.753601,161680.464593699
65799,15210,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,,,,,,,,,,,,{EE7DBADA-FAA2-471A-A5C3-6DDD8D3D89CE},130604837.846344,95831.782812099
65800,15289,PITTSBURGH,UNIQUE,PA,42,42003,ALLEGHENY,152,40.4430908,-79.95520627, ,11666,6940,4487,239,947,1.9.3,6,{85468FD2-7F65-433B-A15B-7CB4D96B4014},397.601379394531,80.2501473363038
65801,15219,PITTSBURGH,NON-UNIQUE,PA,42,42003,ALLEGHENY,,,,,,,,,,,,{779D22AE-4952-4CDC-9E02-6F2B1448582A},76610691.0297546,79972.8608606056
